src_lang,tgt_lang,item_id,item_type,system,src,ref,mt,user_id,raw_score,z_score
en,mt,101,TGT,nllb,Asynchronous communication encourages time for reflection and reaction to others.,Komunikazzjoni mhux sinkronika tħeġġeġ ħin ta' riflessjoni u reazzjoni għall-oħrajn.,Il-komunikazzjoni mhux sinkronika tinkoraġġixxi ħin għar-riflessjoni u r-reazzjoni lejn l-oħrajn.,6b30bb2e20,97,0.9199617020021835
en,mt,102,TGT,um-iwslt,"Students can also submit questions to instructors at any time of day and expect reasonably quick responses, rather than waiting until the next face-to-face meeting.","L-istudenti jistgħu wkoll jibagħtu mistoqsijiet lill-għalliema fi kwalunkwe ħin tal-ġurnata u jistennew tweġibiet raġonevolment malajr, pjuttost milli jistennew sal-laqgħa wiċċ imb’ wiċċ li jmiss.","l-istudenti jistgħu wkoll jissottomettu mistoqsijiet lill-iżviluppaturi fi kwalunkwe ħin tal-ġurnata u jistennew rispons raġonevolment rapidu, aktar milli jistennew il-laqgħa li jmiss bejn il-wiċċ u l-ġenb.",4ea62f6070,39,-1.1654769501407096
en,mt,102,TGT,google-translate,"Students can also submit questions to instructors at any time of day and expect reasonably quick responses, rather than waiting until the next face-to-face meeting.","L-istudenti jistgħu wkoll jibagħtu mistoqsijiet lill-għalliema fi kwalunkwe ħin tal-ġurnata u jistennew tweġibiet raġonevolment malajr, pjuttost milli jistennew sal-laqgħa wiċċ imb’ wiċċ li jmiss.","L-istudenti jistgħu wkoll jissottomettu mistoqsijiet lill-għalliema fi kwalunkwe ħin tal-ġurnata u jistennew tweġibiet raġonevolment rapidi, aktar milli jistennew sal-laqgħa wiċċ imb wiċċ li jmiss.",ea8f2069da,66,0.4575109346747404
en,mt,103,BAD,nllb,So many of us find ourselves watching a television show that informs us of a process or experience in which we will never participate or apply that knowledge.,Ħafna minna nsibu lilna nfusna qed naraw programm televiżiv li jagħtina informazzjoni dwar proċess jew esperjenza li m'aħna se nipparteċipaw fihom qatt jew li qatt mhux se napplikaw dik l-informazzjoni.,Ħafna minna nsibu ruħna qed naraw programm televiżiv li jgħidilna dwar proċess jew esperjenza li fiha qatt ma se nieħdu sehem jew li ma napplikawx dik il- għarfien.,6c96c257a2,10,-1.3713602453397264
en,mt,103,TGT,um-iwslt,So many of us find ourselves watching a television show that informs us of a process or experience in which we will never participate or apply that knowledge.,Ħafna minna nsibu lilna nfusna qed naraw programm televiżiv li jagħtina informazzjoni dwar proċess jew esperjenza li m'aħna se nipparteċipaw fihom qatt jew li qatt mhux se napplikaw dik l-informazzjoni.,għalhekk ħafna minnhom isibu f'moħħna wirja televiżiva li tinformana dwar proċess jew esperjenza fejn qatt ma nipparteċipaw jew napplikaw dak l-għarfien.,6b30bb2e20,82,0.40340566611860446
en,mt,104,TGT,google-translate,"As mentioned above, though the word ""Eskimo"" remains acceptable in the United States, it is considered pejorative by many non-U.S. Arctic peoples, especially in Canada.","Kif imsemmi hawn fuq, għalkemm il-kelma ""Eskimo"" għadha aċċettabbli fl-Istati Uniti, din hija meqjusa bħala mhux rispettuża minn ħafna popli tal-Artiku mhux tal-Istati Uniti, speċjalment fil-Kanada.","Kif imsemmi hawn fuq, għalkemm il-kelma ""Eskimo"" tibqa 'aċċettabbli fl-Istati Uniti, hija meqjusa pejorattiva minn ħafna popli tal-Artiku mhux tal-Istati Uniti, speċjalment fil-Kanada.",e18635d572,93,0.8748976536653604
en,mt,104,TGT,google-translate,"As mentioned above, though the word ""Eskimo"" remains acceptable in the United States, it is considered pejorative by many non-U.S. Arctic peoples, especially in Canada.","Kif imsemmi hawn fuq, għalkemm il-kelma ""Eskimo"" għadha aċċettabbli fl-Istati Uniti, din hija meqjusa bħala mhux rispettuża minn ħafna popli tal-Artiku mhux tal-Istati Uniti, speċjalment fil-Kanada.","Kif imsemmi hawn fuq, għalkemm il-kelma ""Eskimo"" tibqa 'aċċettabbli fl-Istati Uniti, hija meqjusa pejorattiva minn ħafna popli tal-Artiku mhux tal-Istati Uniti, speċjalment fil-Kanada.",81666f704f,94,0.7150742608346012
en,mt,105,TGT,um-iwslt,"If you visit Greenland during cold seasons (considering that the further north you go, the colder it will be), it is essential to bring warm enough clothing.","Jekk iżżur Greenland matul l-istaġuni kesħin (meta tqis li iktar ma tersaq lejn it-Tramuntana, iktar ikun hemm kesħa), importanti li tieħu miegħek ħwejjeġ isaħħnu biżżejjed.","jekk iżżur il-Groenlandja waqt l-istaġuni kiesħa ( meta wieħed iqis li iktar' il quddiem it-Tramuntana, iktar ma tgħaddi l-istaġun, huwa essenzjali li jkun hemm ħtiġijiet sħan biżżejjed.",6b30bb2e20,21,-1.6972555464746173
en,mt,106,BAD,google-translate,"Its frequent portrayal in music, films, literature and popular culture has helped make the city and its landmarks known throughout the world.","Ir-rappreżentazzjoni frekwenti tagħha fil-mużika, films, letteratura u kultura popolari għenet biex tagħmel il-belt u l-postijiet famużi tagħha jkunu magħrufa mad-dinja kollha.","Ir-ritratt frekwenti tiegħu fil-mużika, films, letteratura u kultura popolari għen biex il-belt u l-postijiet familjari tagħha jsiru magħrufa mad-dinja kollha.",9913cdf871,0,-1.066485968660502
en,mt,106,BAD,google-translate,"Its frequent portrayal in music, films, literature and popular culture has helped make the city and its landmarks known throughout the world.","Ir-rappreżentazzjoni frekwenti tagħha fil-mużika, films, letteratura u kultura popolari għenet biex tagħmel il-belt u l-postijiet famużi tagħha jkunu magħrufa mad-dinja kollha.","Ir-ritratt frekwenti tiegħu fil-mużika, films, letteratura u kultura popolari għen biex il-belt u l-postijiet familjari tagħha jsiru magħrufa mad-dinja kollha.",2a93003759,10,-1.2031676548365555
en,mt,107,TGT,nllb,"The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home.","Iż-żjara ""tipika"" tinvolvi titjira sal-Ajruport Internazzjonali ta' Orlando, vjaġġ bix-xarabank għal-lukanda ta' Disney fuq il-post, tqatta' madwar ġimgħa mingħajr ma titlaq mill-proprjetà ta' Disney, u tirritorna d-dar.","Il- żjara ""tipiċi"" tinvolvi li wieħed jivvjaġġa fl- Ajruport Internazzjonali taʼ Orlando, jieħu l- karozza tal- bassin lejn hotel taʼ Disney, jgħaddi madwar ġimgħa mingħajr ma jitlaq mill- proprjetà taʼ Disney, u jirritorna d- dar.",2d3b2ae69a,100,0.9971130035584714
en,mt,107,TGT,nllb,"The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home.","Iż-żjara ""tipika"" tinvolvi titjira sal-Ajruport Internazzjonali ta' Orlando, vjaġġ bix-xarabank għal-lukanda ta' Disney fuq il-post, tqatta' madwar ġimgħa mingħajr ma titlaq mill-proprjetà ta' Disney, u tirritorna d-dar.","Il- żjara ""tipiċi"" tinvolvi li wieħed jivvjaġġa fl- Ajruport Internazzjonali taʼ Orlando, jieħu l- karozza tal- bassin lejn hotel taʼ Disney, jgħaddi madwar ġimgħa mingħajr ma jitlaq mill- proprjetà taʼ Disney, u jirritorna d- dar.",6c96c257a2,25,-0.9226474191271984
en,mt,107,TGT,um-iwslt,"The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home.","Iż-żjara ""tipika"" tinvolvi titjira sal-Ajruport Internazzjonali ta' Orlando, vjaġġ bix-xarabank għal-lukanda ta' Disney fuq il-post, tqatta' madwar ġimgħa mingħajr ma titlaq mill-proprjetà ta' Disney, u tirritorna d-dar.","iż-żjara"" atipika"" tinvolvi t-titjir lejn l-Ajruport Internazzjonali"", it-trasport bix-xarabank għall-ġnien fuq il-post, l-infiq madwar ġimgħa mingħajr ma titħalla l-proprjetà tal-ġnien, u r-ritorn lejn id-dar.",63d6765581,51,-1.5946410954900079
en,mt,107,TGT,um-iwslt,"The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home.","Iż-żjara ""tipika"" tinvolvi titjira sal-Ajruport Internazzjonali ta' Orlando, vjaġġ bix-xarabank għal-lukanda ta' Disney fuq il-post, tqatta' madwar ġimgħa mingħajr ma titlaq mill-proprjetà ta' Disney, u tirritorna d-dar.","iż-żjara"" atipika"" tinvolvi t-titjir lejn l-Ajruport Internazzjonali"", it-trasport bix-xarabank għall-ġnien fuq il-post, l-infiq madwar ġimgħa mingħajr ma titħalla l-proprjetà tal-ġnien, u r-ritorn lejn id-dar.",edc20203c1,6,-1.2647623673023873
en,mt,108,TGT,um-iwslt,"The town lies immediately next to the falls, and they are the major attraction, but this popular tourist destination offers both adventure seekers and sightseers plenty of opportunities for a longer stay.","Il-belt tinsab immedjatament ħdejn il-kaskati, u huma l-attrazzjoni ewlenija, imma din id-destinazzjoni turistika popolari toffri ħafna opportunitajiet għal soġġorn itwal kemm lil dawk li jfittxu l-avventuri kif ukoll lil dawk li jħobbu jaraw il-veduti u l-postijiet ta' interess.","il-belt tinsab immedjatament ħdejn il-waqgħa, u huma l-akbar attrazzjoni, iżda din id-destinazzjoni turistika popolari toffri kemm lil dawk li qed ifittxu l-belt kif ukoll lil dawk li qed ifittxu l-belt l-opportunitajiet għal waqfa itwal.",4ea62f6070,34,-1.3576730171164202
en,mt,108,TGT,um-iwslt,"The town lies immediately next to the falls, and they are the major attraction, but this popular tourist destination offers both adventure seekers and sightseers plenty of opportunities for a longer stay.","Il-belt tinsab immedjatament ħdejn il-kaskati, u huma l-attrazzjoni ewlenija, imma din id-destinazzjoni turistika popolari toffri ħafna opportunitajiet għal soġġorn itwal kemm lil dawk li jfittxu l-avventuri kif ukoll lil dawk li jħobbu jaraw il-veduti u l-postijiet ta' interess.","il-belt tinsab immedjatament ħdejn il-waqgħa, u huma l-akbar attrazzjoni, iżda din id-destinazzjoni turistika popolari toffri kemm lil dawk li qed ifittxu l-belt kif ukoll lil dawk li qed ifittxu l-belt l-opportunitajiet għal waqfa itwal.",568095ee7b,44,-0.44017484094255993
en,mt,108,TGT,um-iwslt,"The town lies immediately next to the falls, and they are the major attraction, but this popular tourist destination offers both adventure seekers and sightseers plenty of opportunities for a longer stay.","Il-belt tinsab immedjatament ħdejn il-kaskati, u huma l-attrazzjoni ewlenija, imma din id-destinazzjoni turistika popolari toffri ħafna opportunitajiet għal soġġorn itwal kemm lil dawk li jfittxu l-avventuri kif ukoll lil dawk li jħobbu jaraw il-veduti u l-postijiet ta' interess.","il-belt tinsab immedjatament ħdejn il-waqgħa, u huma l-akbar attrazzjoni, iżda din id-destinazzjoni turistika popolari toffri kemm lil dawk li qed ifittxu l-belt kif ukoll lil dawk li qed ifittxu l-belt l-opportunitajiet għal waqfa itwal.",518d20bb0d,60,-0.6770276034934981
en,mt,108,TGT,google-translate,"The town lies immediately next to the falls, and they are the major attraction, but this popular tourist destination offers both adventure seekers and sightseers plenty of opportunities for a longer stay.","Il-belt tinsab immedjatament ħdejn il-kaskati, u huma l-attrazzjoni ewlenija, imma din id-destinazzjoni turistika popolari toffri ħafna opportunitajiet għal soġġorn itwal kemm lil dawk li jfittxu l-avventuri kif ukoll lil dawk li jħobbu jaraw il-veduti u l-postijiet ta' interess.","Il-belt tinsab immedjatament ħdejn il-waqgħat, u huma l-attrazzjoni ewlenija, iżda din id-destinazzjoni turistika popolari toffri kemm lil dawk li jfittxu l-avventura kif ukoll lil dawk li jżuru ħafna opportunitajiet għal waqfa itwal.",c51782206b,90,0.48736330991668975
en,mt,108,TGT,google-translate,"The town lies immediately next to the falls, and they are the major attraction, but this popular tourist destination offers both adventure seekers and sightseers plenty of opportunities for a longer stay.","Il-belt tinsab immedjatament ħdejn il-kaskati, u huma l-attrazzjoni ewlenija, imma din id-destinazzjoni turistika popolari toffri ħafna opportunitajiet għal soġġorn itwal kemm lil dawk li jfittxu l-avventuri kif ukoll lil dawk li jħobbu jaraw il-veduti u l-postijiet ta' interess.","Il-belt tinsab immedjatament ħdejn il-waqgħat, u huma l-attrazzjoni ewlenija, iżda din id-destinazzjoni turistika popolari toffri kemm lil dawk li jfittxu l-avventura kif ukoll lil dawk li jżuru ħafna opportunitajiet għal waqfa itwal.",e36198d543,90,0.46308023115370134
en,mt,108,TGT,google-translate,"The town lies immediately next to the falls, and they are the major attraction, but this popular tourist destination offers both adventure seekers and sightseers plenty of opportunities for a longer stay.","Il-belt tinsab immedjatament ħdejn il-kaskati, u huma l-attrazzjoni ewlenija, imma din id-destinazzjoni turistika popolari toffri ħafna opportunitajiet għal soġġorn itwal kemm lil dawk li jfittxu l-avventuri kif ukoll lil dawk li jħobbu jaraw il-veduti u l-postijiet ta' interess.","Il-belt tinsab immedjatament ħdejn il-waqgħat, u huma l-attrazzjoni ewlenija, iżda din id-destinazzjoni turistika popolari toffri kemm lil dawk li jfittxu l-avventura kif ukoll lil dawk li jżuru ħafna opportunitajiet għal waqfa itwal.",b83d2ba4a7,91,0.6652229509740989
en,mt,108,REF,[ref],"The town lies immediately next to the falls, and they are the major attraction, but this popular tourist destination offers both adventure seekers and sightseers plenty of opportunities for a longer stay.","Il-belt tinsab immedjatament ħdejn il-kaskati, u huma l-attrazzjoni ewlenija, imma din id-destinazzjoni turistika popolari toffri ħafna opportunitajiet għal soġġorn itwal kemm lil dawk li jfittxu l-avventuri kif ukoll lil dawk li jħobbu jaraw il-veduti u l-postijiet ta' interess.","Il-belt tinsab immedjatament ħdejn il-kaskati, u huma l-attrazzjoni ewlenija, imma din id-destinazzjoni turistika popolari toffri ħafna opportunitajiet għal soġġorn itwal kemm lil dawk li jfittxu l-avventuri kif ukoll lil dawk li jħobbu jaraw il-veduti u l-postijiet ta' interess.",4ea62f6070,98,1.1024366401726768
en,mt,109,TGT,um-iwslt,"Compared to most of the other royal tombs, however, the tomb of Tutankhamun is barely worth visiting, being much smaller and with limited decoration.","Meta mqabbel mal-maġġor parti tal-oqbra rjali l-oħra, madankollu, il-qabar ta’ Tutankhamun kważi qas jiswa l-isforz biex iżżuru, minħabba li huwa ħafna iżgħar u mhux dekorat wisq.","Madankollu, meta mqabbla mal-biċċa l-kbira tal-ġugarelli l-oħra, il-ġuf ta' Tutankhamun huwa ta' valur kunċettwali, minħabba li huwa ħafna iżgħar u b'dekorazzjoni limitata.",edc20203c1,1,-1.3938988148521514
en,mt,109,TGT,um-iwslt,"Compared to most of the other royal tombs, however, the tomb of Tutankhamun is barely worth visiting, being much smaller and with limited decoration.","Meta mqabbel mal-maġġor parti tal-oqbra rjali l-oħra, madankollu, il-qabar ta’ Tutankhamun kważi qas jiswa l-isforz biex iżżuru, minħabba li huwa ħafna iżgħar u mhux dekorat wisq.","Madankollu, meta mqabbla mal-biċċa l-kbira tal-ġugarelli l-oħra, il-ġuf ta' Tutankhamun huwa ta' valur kunċettwali, minħabba li huwa ħafna iżgħar u b'dekorazzjoni limitata.",63d6765581,20,-2.979897771716316
en,mt,109,TGT,nllb,"Compared to most of the other royal tombs, however, the tomb of Tutankhamun is barely worth visiting, being much smaller and with limited decoration.","Meta mqabbel mal-maġġor parti tal-oqbra rjali l-oħra, madankollu, il-qabar ta’ Tutankhamun kważi qas jiswa l-isforz biex iżżuru, minħabba li huwa ħafna iżgħar u mhux dekorat wisq.","Madankollu, meta mqabbel mal- biċċa l- kbira tat- tombli rjali l- oħra, il- qabar taʼ Tutankhamun bilkemm jiswew li wieħed iżur, għax huwa ħafna iżgħar u b'decor limitat.",22c30fb9d3,22,-0.527694982157277
en,mt,109,TGT,nllb,"Compared to most of the other royal tombs, however, the tomb of Tutankhamun is barely worth visiting, being much smaller and with limited decoration.","Meta mqabbel mal-maġġor parti tal-oqbra rjali l-oħra, madankollu, il-qabar ta’ Tutankhamun kważi qas jiswa l-isforz biex iżżuru, minħabba li huwa ħafna iżgħar u mhux dekorat wisq.","Madankollu, meta mqabbel mal- biċċa l- kbira tat- tombli rjali l- oħra, il- qabar taʼ Tutankhamun bilkemm jiswew li wieħed iżur, għax huwa ħafna iżgħar u b'decor limitat.",6b353acb1e,48,-0.4191345324824359
en,mt,109,TGT,nllb,"Compared to most of the other royal tombs, however, the tomb of Tutankhamun is barely worth visiting, being much smaller and with limited decoration.","Meta mqabbel mal-maġġor parti tal-oqbra rjali l-oħra, madankollu, il-qabar ta’ Tutankhamun kważi qas jiswa l-isforz biex iżżuru, minħabba li huwa ħafna iżgħar u mhux dekorat wisq.","Madankollu, meta mqabbel mal- biċċa l- kbira tat- tombli rjali l- oħra, il- qabar taʼ Tutankhamun bilkemm jiswew li wieħed iżur, għax huwa ħafna iżgħar u b'decor limitat.",389e0f80e0,95,0.9611080924839595
en,mt,109,TGT,google-translate,"Compared to most of the other royal tombs, however, the tomb of Tutankhamun is barely worth visiting, being much smaller and with limited decoration.","Meta mqabbel mal-maġġor parti tal-oqbra rjali l-oħra, madankollu, il-qabar ta’ Tutankhamun kważi qas jiswa l-isforz biex iżżuru, minħabba li huwa ħafna iżgħar u mhux dekorat wisq.","Meta mqabbel mal-biċċa l-kbira tal-oqbra rjali l-oħra, madankollu, il-qabar ta 'Tutankhamon bilkemm huwa ta' min iżur, huwa ħafna iżgħar u b'dekorazzjoni limitata.",6b30bb2e20,99,0.9888358401199941
en,mt,10,TGT,nllb,"Marine ecosystems perform a number of key environmental functions — they regulate the climate, prevent erosion, accumulate and distribute solar energy, absorb carbon dioxide, and maintain biological control.","L-ekosistemi talbaħar għandhom għadd ta’ funzjonijiet ambjentali – huma jirregolaw il-klima, jipprevjenu l-erożjoni, jakkumulaw u jqassmu l-enerġija solari, jassorbu d-dijossidu tal-karbonju, u jżommu l-kontroll bijoloġiku.","L-ekosistemi tal-baħar iwettqu għadd ta' funzjonijiet ambjentali ewlenin  jirregolaw il-klima, jipprevjenu l-erożjoni, jakkumulaw u jiddistribwixxu l-enerġija solari, jassorbu d-dijossidu talkarbonju, u jżommu kontroll bijoloġiku.",4ea62f6070,98,1.1024366401726768
en,mt,110,TGT,google-translate,Anyone interested in seeing evidence of the damage to the mummy done during attempts to remove it from the coffin will be disappointed as only the head and shoulders are visible.,Kull min huwa interessat li jara l-evidenza tal-ħsara li saret lill-mumja meta ppruvaw ineħħuha mit-tebut se jkun iddiżappuntat għax ir-ras u l-ispallejn biss huma viżibbli.,Kull min hu interessat li jara evidenza tal-ħsara li saret lill-mummy waqt tentattivi biex titneħħa mit-tebut se jkun diżappuntat peress li r-ras u l-ispallejn biss huma viżibbli.,edc20203c1,77,0.5689751879042597
en,mt,110,TGT,nllb,Anyone interested in seeing evidence of the damage to the mummy done during attempts to remove it from the coffin will be disappointed as only the head and shoulders are visible.,Kull min huwa interessat li jara l-evidenza tal-ħsara li saret lill-mumja meta ppruvaw ineħħuha mit-tebut se jkun iddiżappuntat għax ir-ras u l-ispallejn biss huma viżibbli.,Kull min ikun interessat li jara evidenza tad- ħsara li saret lill- mumja waqt it- tentattivi biex tneħħih mill- kaxxa se jkun diżappuntat billi huma biss ir- ras u l- uċuħ li jidhru.,edc20203c1,96,1.0596936885933625
en,mt,110,TGT,google-translate,Anyone interested in seeing evidence of the damage to the mummy done during attempts to remove it from the coffin will be disappointed as only the head and shoulders are visible.,Kull min huwa interessat li jara l-evidenza tal-ħsara li saret lill-mumja meta ppruvaw ineħħuha mit-tebut se jkun iddiżappuntat għax ir-ras u l-ispallejn biss huma viżibbli.,Kull min hu interessat li jara evidenza tal-ħsara li saret lill-mummy waqt tentattivi biex titneħħa mit-tebut se jkun diżappuntat peress li r-ras u l-ispallejn biss huma viżibbli.,63d6765581,99,0.5502724676991142
en,mt,110,REF,[ref],Anyone interested in seeing evidence of the damage to the mummy done during attempts to remove it from the coffin will be disappointed as only the head and shoulders are visible.,Kull min huwa interessat li jara l-evidenza tal-ħsara li saret lill-mumja meta ppruvaw ineħħuha mit-tebut se jkun iddiżappuntat għax ir-ras u l-ispallejn biss huma viżibbli.,Kull min huwa interessat li jara l-evidenza tal-ħsara li saret lill-mumja meta ppruvaw ineħħuha mit-tebut se jkun iddiżappuntat għax ir-ras u l-ispallejn biss huma viżibbli.,edc20203c1,99,1.1371755571232207
en,mt,111,TGT,nllb,"The city is holy to the three monotheistic religions - Judaism, Christianity and Islam, and serves as a spiritual, religious, and cultural center.","Il-belt hija sagra għat-tliet reliġjonijiet monoteistiċi - il-Ġudaiżmu, il-Kristjaneżmu u l-Islam, u sservi bħala ċentru spiritwali, reliġjuż u kulturali.","Il- belt hi qaddisa għat- tliet reliġjonijiet monoteisti - il- Ġudaiżmu, il- Kristjanità u l- Islam, u sservi bħala ċentru spiritwali, reliġjuż, u kulturali.",219dc550cd,89,1.4262570787066513
en,mt,111,TGT,google-translate,"The city is holy to the three monotheistic religions - Judaism, Christianity and Islam, and serves as a spiritual, religious, and cultural center.","Il-belt hija sagra għat-tliet reliġjonijiet monoteistiċi - il-Ġudaiżmu, il-Kristjaneżmu u l-Islam, u sservi bħala ċentru spiritwali, reliġjuż u kulturali.","Il-belt hija qaddisa għat-tliet reliġjonijiet monoteistiċi - Ġudaiżmu, Kristjaneżmu u Islam, u sservi bħala ċentru spiritwali, reliġjuż u kulturali.",edc20203c1,98,1.111348267613268
en,mt,111,TGT,nllb,"The city is holy to the three monotheistic religions - Judaism, Christianity and Islam, and serves as a spiritual, religious, and cultural center.","Il-belt hija sagra għat-tliet reliġjonijiet monoteistiċi - il-Ġudaiżmu, il-Kristjaneżmu u l-Islam, u sservi bħala ċentru spiritwali, reliġjuż u kulturali.","Il- belt hi qaddisa għat- tliet reliġjonijiet monoteisti - il- Ġudaiżmu, il- Kristjanità u l- Islam, u sservi bħala ċentru spiritwali, reliġjuż, u kulturali.",aad8f3547c,99,1.0940596232787518
en,mt,112,BAD,nllb,"Due to the religious significance of the city, and in particular the many sites of the Old City area, Jerusalem is one of the main tourist destinations in Israel.","Minħabba s-sinifikat reliġjuż tal-belt, u b’mod partikolari l-ħafna siti taż-żona tal-Belt il-Qadima, il-Ġerusalemm hija waħda mid-destinazzjonijiet turistiċi ewlenin fl-Iżrael.","Minħabba s-sinifikat reliġjuż tal-belt, u b'mod partikolari l-ħafna siti taż-żona tal-Belt l-Antika, Ġerusalemm hija waħda mid-destinazzjonijiet turistiċi ewlenin fl-Iżrael.",7d111a8c45,18,-1.4952715437355217
